,Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release_Date,MPAA Rating,Running Time (min),Distributor,Source,Type,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
173,The Californians,4134,4134,NA,500000,21-Oct-05,PG,NA,Fabrication Films,Original Screenplay,Drama,Contemporary Fiction,NA,NA,5.1,226
174,The Client,92115211,117615211,NA,45000000,20-Jul-94,PG-13,NA,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Joel Schumacher,80,6.5,19299
175,The Calling,32092,32092,NA,160000,1-Mar-02,PG,NA,Testimony Pictures,Original Screenplay,Drama,Contemporary Fiction,Michael C. Brown,NA,3.4,1113
176,Clueless,56598476,56598476,NA,13700000,1-Jul-95,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Amy Heckerling,83,6.7,39055
177,The Color Purple,93589701,93589701,NA,15000000,18-Dec-85,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Steven Spielberg,88,7.7,26962
178,Clerks,3073428,3073428,NA,27000,19-Oct-94,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,88,7.9,89991
179,Central do Brasil,5969553,17006158,NA,2900000,20-Nov-98,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Walter Salles,NA,8,17343
180,Clash of the Titans,30000000,30000000,NA,15000000,12-Jun-81,NA,108,MGM,Traditional/Legend/Fairytale,Adventure,Fantasy,NA,65,5.9,45773
181,Clockwatchers,444354,444354,NA,2000000,15-May-98,PG-13,NA,Artistic License,NA,NA,NA,NA,NA,5.9,3171
182,Commando,35073978,35073978,NA,10000000,4-Oct-85,NA,NA,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,NA,71,4.5,49
183,The Color of Money,52293000,52293000,NA,10000000,17-Oct-86,NA,NA,Walt Disney Pictures,NA,Drama,Contemporary Fiction,Martin Scorsese,91,6.9,25824
184,Cinderella,85000000,85000000,NA,2900000,15-Feb-50,NA,NA,Walt Disney Pictures,Traditional/Legend/Fairytale,Drama,Fantasy,NA,92,5.1,373
185,Congo,81022333,152022333,NA,50000000,9-Jun-95,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Adventure,Contemporary Fiction,Frank Marshall,21,4.6,17954
186,Conan the Barbarian,38264085,38264085,NA,20000000,14-May-82,NA,NA,Universal,Based on Book/Short Story,Action,Fantasy,John Milius,76,6.8,38886
187,Conan the Destroyer,26400000,26400000,NA,18000000,29-Jun-84,NA,NA,Universal,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,29,5.4,20368
188,Class of 1984,6965361,6965361,NA,3250000,20-Aug-82,NA,NA,United Film Distribution Co.,Original Screenplay,Drama,Contemporary Fiction,NA,NA,6.3,2945
189,The Clan of the Cave Bear,1953732,1953732,NA,15000000,17-Jan-86,NA,NA,Warner Bros.,Based on Book/Short Story,Adventure,Historical Fiction,NA,13,4.9,2763
190,The Case of the Grinning Cat,7033,7033,NA,200000,21-Jul-06,Not Rated,NA,First Run/Icarus,Based on Real Life Events,Documentary,Factual,NA,NA,NA,NA
191,Bacheha-Ye aseman,925402,925402,NA,180000,22-Jan-99,PG,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,8,6657
192,Coming Home,32653000,32653000,NA,3000000,1978,NA,NA,NA,NA,NA,NA,Hal Ashby,81,7.3,4410
193,Cool Runnings,68856263,155056263,NA,14000000,1-Oct-93,NA,NA,Walt Disney Pictures,Based on Real Life Events,Comedy,Contemporary Fiction,Jon Turteltaub,73,6.5,24533
194,Conquest of the Planet of the Apes,9700000,9700000,NA,1700000,1972,NA,NA,NA,NA,NA,NA,Jack Lee Thompson,44,5.8,6188
195,Cure,94596,94596,NA,10000,6-Jul-01,Not Rated,NA,NA,NA,NA,NA,NA,NA,7.4,2724
196,Crocodile Dundee,174803506,328000000,NA,5000000,26-Sep-86,NA,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,88,6.5,27277
197,Dayereh,673780,673780,NA,10000,9-Mar-01,Not Rated,NA,WinStar Cinema,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7.3,1851
198,Karakter,713413,713413,NA,4500000,27-Mar-98,R,NA,Sony Pictures Classics,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,7.8,5531
199,Creepshow,20036244,20036244,NA,8000000,10-Nov-82,NA,NA,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,George A. Romero,67,6.5,12530
200,Creepshow 2,14000000,14000000,NA,3500000,1-May-87,NA,NA,New World,Based on Book/Short Story,Horror,Fantasy,NA,26,5.4,5910
201,The Crying Game,62546695,62546695,NA,4000000,25-Nov-92,R,NA,Miramax,Original Screenplay,Drama,Contemporary Fiction,Neil Jordan,100,7.3,21195
202,Crimson Tide,91387195,159387195,NA,55000000,12-May-95,R,NA,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,86,7.2,33354
203,Caravans,1000000,1000000,NA,14000000,1978,NA,NA,Universal,Based on Book/Short Story,Adventure,Historical Fiction,NA,NA,5.8,173
204,Casablanca,10462500,10462500,NA,950000,1942,NA,NA,Warner Bros.,Based on Play,Drama,Historical Fiction,Michael Curtiz,97,8.8,167939
205,Casino,42438300,110400000,NA,52000000,22-Nov-95,R,NA,Universal,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,81,8.1,108634
206,Casper,100328194,282300000,NA,55000000,26-May-95,PG,NA,Universal,Based on TV,Comedy,Fantasy,Brad Silberling,41,5.7,26121
207,Can't Stop the Music,2000000,2000000,NA,20000000,1980,NA,NA,NA,Original Screenplay,Musical,Contemporary Fiction,NA,NA,3.5,2146
208,Catch-22,24911670,24911670,NA,18000000,24-Jun-70,NA,NA,Paramount Pictures,Based on Book/Short Story,Comedy,Historical Fiction,Mike Nichols,87,7.1,9671
209,City Hall,20278055,20278055,NA,40000000,16-Feb-96,R,111,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Harold Becker,55,6.1,9908
210,Cutthroat Island,10017322,10017322,NA,92000000,22-Dec-95,PG-13,NA,MGM,Original Screenplay,Adventure,Historical Fiction,Renny Harlin,45,5.3,10346
211,La femme de chambre du Titanic,244465,244465,NA,10000000,14-Aug-98,NA,NA,MGM,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,6.8,822
212,Cat People,4000000,8000000,NA,134000,16-Nov-42,NA,NA,RKO Radio Pictures,Original Screenplay,Drama,Fantasy,NA,91,5.9,6791
213,Courage Under Fire,59003384,100833145,NA,46000000,12-Jul-96,R,115,20th Century Fox,Original Screenplay,Drama,Historical Fiction,Edward Zwick,85,6.6,19682
214,C'era una volta il West,5321508,5321508,NA,5000000,28-May-69,PG-13,NA,Paramount Pictures,Original Screenplay,Western,Historical Fiction,Sergio Leone,NA,8.8,74184
215,The Conversation,4420000,4420000,NA,1600000,7-Apr-74,NA,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Francis Ford Coppola,98,8.1,33005
216,Cavite,70071,71644,NA,7000,26-May-06,Not Rated,NA,Truly Indie,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,6,487
217,Copycat,32051917,32051917,NA,20000000,27-Oct-95,R,NA,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,75,6.5,17182
218,Dark Angel,4372561,4372561,NA,7000000,28-Sep-90,NA,NA,Triumph Releasing,Original Screenplay,Action,Science Fiction,NA,NA,5.3,3396
219,"Boot, Das",11487676,84970337,NA,12000000,10-Feb-82,R,NA,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,Wolfgang Petersen,NA,4.3,2184
220,Desperado,25532388,25532388,NA,7000000,25-Aug-95,R,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,61,7,51515
221,Dumb & Dumber,127175374,246400000,NA,16000000,16-Dec-94,PG-13,NA,New Line,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,NA,7.2,88093
222,Diamonds Are Forever,43800000,116000000,NA,7200000,17-Dec-71,NA,NA,MGM,Based on Book/Short Story,Action,NA,Guy Hamilton,67,6.7,25354
223,The Dark Half,9579068,9579068,NA,15000000,23-Apr-93,NA,NA,Orion Pictures,Based on Book/Short Story,Horror,Fantasy,George A. Romero,NA,5.7,5488
224,The Dark Hours,423,423,NA,400000,13-Oct-05,R,NA,Freestyle Releasing,NA,Horror,NA,NA,NA,6.3,2804
225,Dante's Peak,67163857,178200000,NA,115000000,7-Feb-97,PG-13,108,Universal,Original Screenplay,Drama,Contemporary Fiction,Roger Donaldson,28,5.6,23472
226,Daylight,32908290,158908290,NA,80000000,6-Dec-96,PG-13,115,Universal,Original Screenplay,Action,Contemporary Fiction,Rob Cohen,22,5.4,20052
227,Dick Tracy,103738726,162738726,NA,47000000,15-Jun-90,NA,NA,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Warren Beatty,65,5.9,25364
228,Decoys,84733,84733,NA,5000000,27-Feb-04,R,NA,NA,NA,NA,NA,NA,NA,4.4,2486
229,Dawn of the Dead,5100000,55000000,NA,1500000,20-Apr-79,NA,NA,United Film Distribution Co.,NA,Horror,NA,NA,NA,7.4,73875
230,The Addams Family,113502246,191502246,NA,30000000,22-Nov-91,NA,NA,Paramount Pictures,Based on TV,Comedy,Fantasy,Barry Sonnenfeld,59,6.6,28907
231,Death Becomes Her,58422650,149022650,NA,55000000,31-Jul-92,NA,NA,Universal,Original Screenplay,Comedy,Fantasy,Robert Zemeckis,53,6,27681
232,Def-Con 4,210904,210904,NA,1300000,15-Mar-85,NA,NA,New World,Original Screenplay,Action,Science Fiction,NA,NA,3.8,639
233,Dead Poets' Society,95860116,239500000,NA,16400000,2-Jun-89,NA,NA,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Peter Weir,86,7.8,89662
234,The Day the Earth Stood Still,3700000,3700000,NA,1200000,4-Mar-03,NA,NA,NA,NA,NA,NA,NA,94,5.5,51517
235,Deep Throat,45000000,45000000,NA,25000,30-Jun-72,NA,NA,NA,NA,NA,NA,NA,NA,5.2,3075
236,The Dead Zone,20766000,20766000,NA,10000000,21-Oct-83,NA,NA,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,David Cronenberg,NA,7.3,19485
237,Die Hard 2,117323878,239814025,NA,70000000,3-Jul-90,NA,NA,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Renny Harlin,NA,7,79636
238,Die Hard: With a Vengeance,100012499,364480746,NA,90000000,19-May-95,R,NA,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,John McTiernan,NA,7.4,87437
239,Dragonheart,51364680,104364680,NA,57000000,31-May-96,PG-13,108,Universal,Original Screenplay,Adventure,Fantasy,Rob Cohen,50,6.2,26309
240,Die Hard,81350242,139109346,NA,28000000,15-Jul-88,NA,NA,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,John McTiernan,94,7.3,237
241,Diner,12592907,12592907,NA,5000000,2-Apr-82,NA,NA,MGM,Original Screenplay,Comedy,Historical Fiction,Barry Levinson,96,7.1,7803
242,Dil Jo Bhi Kahey...,129319,129319,NA,1600000,23-Sep-05,Not Rated,NA,Eros Entertainment,Original Screenplay,Drama,NA,NA,NA,5,159
243,Don Juan DeMarco,22032635,22032635,NA,25000000,7-Apr-95,PG-13,NA,New Line,Original Screenplay,Drama,Contemporary Fiction,NA,73,6.6,20386
244,Tales from the Crypt: Demon Knight,21089146,21089146,NA,12000000,13-Jan-95,R,NA,Universal,Original Screenplay,Horror,Fantasy,NA,NA,6.4,6430
245,Dead Man Walking,39387284,83088295,NA,11000000,29-Dec-95,R,NA,Gramercy,Based on Real Life Events,Drama,Dramatization,Tim Robbins,94,7.6,32159
246,Dances with Wolves,184208842,424200000,NA,19000000,9-Nov-90,NA,NA,Orion Pictures,Based on Book/Short Story,Western,Historical Fiction,Kevin Costner,76,8,71399
247,Dangerous Liaisons,34700000,34700000,NA,14000000,21-Dec-88,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Stephen Frears,93,7.7,25761
248,Donovan's Reef,6600000,6600000,NA,2686000,1963,NA,NA,NA,NA,NA,NA,John Ford,60,6.6,2907
249,Due occhi diabolici,349618,349618,NA,9000000,25-Oct-91,NA,NA,NA,NA,NA,NA,NA,NA,5.9,2059
250,Double Impact,29090445,29090445,NA,16000000,9-Aug-91,NA,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Sheldon Lettich,8,4.7,10426
251,The Doors,34167219,34167219,NA,40000000,1-Mar-91,NA,NA,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Oliver Stone,57,7,29750
252,Day of the Dead,5804262,34004262,NA,3500000,3-Jul-85,NA,NA,United Film Distribution Co.,NA,Horror,NA,George A. Romero,78,4.5,8395
253,Days of Thunder,82670733,157670733,NA,60000000,27-Jun-90,NA,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,40,5.4,25395
254,Dracula: Pages from a Virgin's Diary,39659,84788,NA,1100000,14-May-03,Not Rated,NA,NA,NA,NA,NA,NA,NA,7,1013
255,Dolphin,14000,14000,NA,170000,"June, 1979",NA,NA,NA,Based on Real Life Events,Documentary,Factual,NA,NA,5.8,134
256,The Dress,16556,16556,NA,2650000,16-Jan-98,Not Rated,NA,Attitude Films,Original Screenplay,Drama,NA,NA,NA,7.6,1844
257,The Deer Hunter,50000000,50000000,NA,15000000,1979,NA,NA,Universal,Original Screenplay,Drama,NA,Michael Cimino,NA,8.2,88095
258,Dragonslayer,6000000,6000000,NA,18000000,26-Jun-81,NA,NA,Paramount Pictures,Original Screenplay,Action,Fantasy,NA,82,6.8,4945
259,Driving Miss Daisy,106593296,106593296,NA,7500000,13-Dec-89,NA,NA,Warner Bros.,Based on Play,Drama,Historical Fiction,Bruce Beresford,78,7.5,22566
260,Dressed to Kill,31899000,31899000,NA,6500000,1-Jan-80,NA,NA,NA,NA,NA,NA,Brian De Palma,84,7.1,9556
261,Do the Right Thing,26004026,26004026,NA,6000000,30-Jun-89,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,98,7.9,26877
262,Dune,27447471,27447471,NA,45000000,14-Dec-84,NA,NA,Universal,Based on Book/Short Story,Action,Science Fiction,David Lynch,62,6.5,38489
263,Dolphins and Whales Tribes of the Ocean 3D,7714996,17252287,NA,6000000,15-Feb-08,Not Rated,NA,3D Entertainment,Based on Real Life Events,Documentary,Factual,NA,NA,NA,NA
264,Down & Out with the Dolls,58936,58936,NA,1200000,21-Mar-03,R,NA,Indican Pictures,NA,NA,NA,NA,NA,5.8,75
265,Dream With The Fishes,542909,542909,NA,1000000,20-Jun-97,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,NA,58,6.6,1188
266,Doctor Zhivago,111721000,111721000,NA,11000000,22-Dec-65,PG-13,NA,MGM,Based on Book/Short Story,Drama,Historical Fiction,David Lean,84,8,27671
267,The Evil Dead,2400000,29400000,NA,375000,15-Apr-83,NC-17,NA,New Line,NA,Horror,NA,Sam Raimi,NA,7.6,45030
268,Evil Dead II,5923044,5923044,NA,3500000,13-Mar-87,NA,NA,Rosebud Releasing,NA,Horror,Fantasy,Sam Raimi,NA,7.9,44214
269,Army of Darkness,11502976,21502976,NA,11000000,19-Feb-93,R,NA,Universal,NA,Horror,Fantasy,Sam Raimi,NA,7.6,55671
270,Ed and his Dead Mother,673,673,NA,1800000,1993,NA,NA,NA,NA,NA,NA,NA,50,5.6,829
271,Edward Scissorhands,53976987,53976987,NA,20000000,7-Dec-90,NA,NA,20th Century Fox,Original Screenplay,Comedy,Fantasy,Tim Burton,91,8,102485
272,Ed Wood,5828466,5828466,NA,18000000,30-Sep-94,R,NA,Walt Disney Pictures,Based on Book/Short Story,Comedy,Dramatization,Tim Burton,91,8.1,74171
273,The Egyptian,15000000,15000000,NA,5000000,1954,NA,NA,NA,NA,NA,NA,Michael Curtiz,NA,6.2,1097
274,Everyone Says I Love You,9725847,34600000,NA,20000000,6-Dec-96,R,NA,Miramax,Original Screenplay,Musical,Contemporary Fiction,Woody Allen,80,6.8,16481
275,The Elephant Man,26010864,26010864,NA,5000000,3-Oct-80,NA,NA,NA,NA,NA,NA,David Lynch,91,8.4,58194
276,Emma,22231658,37831658,NA,5900000,2-Aug-96,PG,111,Miramax,Based on Book/Short Story,Romantic Comedy,Historical Fiction,NA,NA,6.8,13798
277,Star Wars Ep. V: The Empire Strikes Back,290271960,534171960,10027926,23000000,21-May-80,PG,NA,20th Century Fox,Original Screenplay,Adventure,Science Fiction,NA,NA,NA,NA
278,Escape from New York,25244700,25244700,NA,6000000,10-Jul-81,NA,NA,Avco Embassy,Original Screenplay,Action,Science Fiction,John Carpenter,82,7.1,34497
279,Escape from L.A.,25426861,25426861,NA,50000000,9-Aug-96,R,101,Paramount Pictures,Original Screenplay,Action,Science Fiction,John Carpenter,56,5.3,23262
280,Escape from the Planet of the Apes,12300000,12300000,NA,2500000,1971,NA,NA,NA,NA,NA,Science Fiction,NA,78,6.1,7686
281,Eraser,101295562,234400000,NA,100000000,21-Jun-96,R,115,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Chuck Russell,34,5.9,37287
282,Eraserhead,7000000,7000000,NA,100000,1977,NA,NA,NA,NA,NA,NA,David Lynch,90,7.4,26595
283,Everything You Always Wanted to Know,18016290,18016290,NA,2000000,11-Aug-72,NA,NA,MGM,Based on Book/Short Story,Comedy,NA,Woody Allen,NA,NA,NA
284,ET: The Extra-Terrestrial,435110554,792910554,NA,10500000,11-Jun-82,PG,NA,Universal,Original Screenplay,Drama,Science Fiction,Steven Spielberg,NA,7.9,105028
285,Excessive Force,1152117,1152117,NA,13000000,14-May-93,NA,NA,NA,NA,NA,NA,NA,NA,4.7,537
286,Exorcist II: The Heretic,25011000,25011000,NA,14000000,17-Jun-77,NA,NA,NA,NA,Horror,NA,John Boorman,NA,3.5,7849
287,Exotica,5046118,5046118,NA,1500000,23-Sep-94,R,NA,Miramax,Original Screenplay,Drama,Contemporary Fiction,Atom Egoyan,96,7.1,8402
288,Force 10 from Navarone,7100000,7100000,NA,5000000,22-Dec-78,NA,NA,Sony/Columbia,NA,Action,NA,Guy Hamilton,64,6,5917
289,A Farewell To Arms,11000000,11000000,NA,5000000,1957,NA,NA,NA,NA,NA,NA,John Huston,NA,6.6,1655
290,Fatal Attraction,156645693,320100000,NA,14000000,18-Sep-87,NA,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Adrian Lyne,81,6.8,22328
291,Family Plot,13200000,13200000,NA,3000000,9-Apr-76,NA,NA,Universal,NA,NA,NA,Alfred Hitchcock,95,6.8,7290
292,Fabled,31425,31425,NA,400000,10-Dec-04,R,NA,Indican Pictures,Original Screenplay,Horror,NA,Ari S. Kirschenbaum,NA,5.4,146
293,The French Connection,41158757,41158757,NA,2200000,9-Oct-71,NA,NA,NA,NA,NA,NA,William Friedkin,98,7.9,33674
294,From Dusk Till Dawn,25728961,25728961,NA,20000000,19-Jan-96,R,107,Miramax/Dimension,Original Screenplay,Horror,Fantasy,Robert Rodriguez,63,7.1,80234
295,Friday the 13th,39754601,59754601,NA,550000,9-May-80,NA,NA,Paramount Pictures,NA,Horror,NA,NA,60,5.6,26798
296,Friday the 13th Part 3,36690067,36690067,NA,2250000,13-Aug-82,NA,NA,Paramount Pictures,NA,Horror,Contemporary Fiction,Steve Miner,14,5.5,13395
297,Friday the 13th Part IV: The Final Chapter,32980880,32980880,NA,2600000,13-Apr-84,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,NA,NA
298,Friday the 13th Part V: A New Beginning,21930418,21930418,NA,2200000,22-Mar-85,NA,NA,Paramount Pictures,NA,Horror,Contemporary Fiction,NA,NA,NA,NA
299,Friday the 13th Part VI: Jason Lives,19472057,19472057,NA,3000000,1-Aug-86,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,NA,NA
300,Friday the 13th Part VII: The New Blood,19170001,19170001,NA,2800000,13-May-88,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,4.6,8916
301,Friday the 13th Part VIII: Jason Takes Manhattan,14343976,14343976,NA,5000000,28-Jul-89,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,3.9,10113
302,Jason Goes to Hell: The Final Friday,15935068,15935068,NA,3000000,13-Aug-93,NA,NA,New Line,NA,Horror,Fantasy,NA,NA,4.1,8733
303,Per qualche dollaro in pi_,4300000,4300000,NA,600000,10-May-67,NA,NA,MGM,Original Screenplay,Western,Historical Fiction,Sergio Leone,NA,8.2,44204
304,Per un pugno di dollari,3500000,3500000,NA,200000,18-Jan-67,NA,NA,United Artists,Remake,Western,Historical Fiction,Sergio Leone,NA,8,39929
305,The Fall of the Roman Empire,4750000,4750000,NA,19000000,1-Jan-64,NA,NA,NA,NA,NA,NA,NA,100,6.6,3184
306,Friday the 13th Part 2,21722776,21722776,NA,1250000,30-Apr-81,NA,NA,NA,NA,Horror,NA,Steve Miner,33,5.5,13395
307,Faithful,2104439,2104439,NA,13000000,5-Apr-96,R,NA,New Line,Based on Play,Black Comedy,Contemporary Fiction,Paul Mazursky,7,5.7,989
308,Fair Game,11497497,11497497,NA,50000000,3-Nov-95,R,NA,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,NA,13,6.6,194
309,A Few Good Men,141340178,236500000,NA,33000000,11-Dec-92,NA,NA,Sony Pictures,Based on Play,Drama,Contemporary Fiction,Rob Reiner,83,7.6,63541
310,The Fugitive,183875760,368900000,NA,44000000,6-Aug-93,PG-13,NA,Warner Bros.,Based on TV,Thriller/Suspense,Contemporary Fiction,Andrew Davis,94,7.8,96914
311,From Here to Eternity,30500000,30500000,NA,1650000,5-Aug-53,NA,NA,NA,NA,NA,NA,Fred Zinnemann,86,7.9,15115
312,First Morning,87264,87264,NA,300000,15-Jul-05,PG-13,90,Illuminare,NA,Drama,NA,NA,NA,NA,NA
313,Shooting Fish,302204,302204,NA,4000000,1-May-98,PG,NA,Fox Searchlight,NA,NA,NA,NA,NA,6.4,4849
314,F.I.S.T,20388920,20388920,NA,11000000,13-Apr-78,NA,NA,United Artists,Based on Real Life Events,Drama,Dramatization,Norman Jewison,NA,6.2,2737
315,Flashdance,90463574,201463574,NA,7000000,15-Apr-83,NA,NA,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Adrian Lyne,29,5.6,12485
316,Fled,17192205,19892205,NA,30000000,19-Jul-96,R,98,MGM,Original Screenplay,Action,Contemporary Fiction,NA,14,4.9,4215
317,Flash Gordon,27107960,27107960,NA,35000000,5-Dec-80,NA,NA,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,NA,81,6.2,14894
318,The Flintstones,130531208,358500000,NA,45000000,27-May-94,PG,NA,Universal,Based on TV,Comedy,Historical Fiction,Brian Levant,20,4.6,26521
319,Flight of the Intruder,14471440,14471440,NA,35000000,18-Jan-91,NA,NA,Paramount Pictures,Based on Book/Short Story,Action,Historical Fiction,John Milius,NA,5.3,2592
320,Flatliners,61308153,61308153,NA,26000000,10-Aug-90,R,NA,Sony Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Joel Schumacher,52,6.4,23295
321,The Flower of Evil,181798,181798,NA,6000000,10-Oct-03,R,NA,NA,NA,NA,NA,NA,64,NA,NA
322,Funny Ha Ha,77070,77070,NA,30000,29-Apr-05,Not Rated,NA,Goodbye Cruel Releasing,Original Screenplay,Comedy,NA,NA,NA,6.1,1138
323,The Funeral,1212799,1412799,NA,12500000,1-Nov-96,R,NA,October Films,Original Screenplay,Drama,Historical Fiction,Abel Ferrara,83,6.4,4084
324,Fantasia,83320000,83320000,NA,2280000,13-Nov-40,NA,NA,Walt Disney Pictures,Compilation,Musical,Multiple Creative Types,NA,98,7.8,29914
325,Fantasia 2000 (IMAX),60507228,60507228,NA,80000000,1-Jan-00,G,75,Walt Disney Pictures,Compilation,Musical,Kids Fiction,NA,NA,NA,NA
326,The Fog,21378361,21378361,NA,1000000,1-Feb-80,NA,NA,Avco Embassy,NA,Horror,NA,John Carpenter,69,3.3,15760
327,Forrest Gump,329694499,679400525,NA,55000000,6-Jul-94,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Robert Zemeckis,70,8.6,300455
328,Fortress,6730578,46730578,NA,12000000,3-Sep-93,NA,NA,Miramax,Original Screenplay,Action,Science Fiction,NA,36,5.5,7026
329,Fiddler on the Roof,80500000,80500000,NA,9000000,1-Jan-71,NA,NA,United Artists,Based on Musical/Opera,Musical,Historical Fiction,Norman Jewison,88,7.7,14260
330,The Front Page,15000000,15000000,NA,4000000,17-Dec-74,NA,NA,Universal,Based on Play,Comedy,Contemporary Fiction,Billy Wilder,67,7.2,3875
331,First Blood,47212904,125212904,NA,14000000,22-Oct-82,R,NA,Orion Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Ted Kotcheff,NA,7.4,56369
332,Friday,27467564,27936778,NA,3500000,26-Apr-95,R,NA,New Line,Original Screenplay,Comedy,Contemporary Fiction,F. Gary Gray,77,7,21623
333,Firefox,45785720,45785720,NA,21000000,18-Jun-82,NA,NA,Warner Bros.,Based on Book/Short Story,Action,Science Fiction,Clint Eastwood,42,5.6,9348
334,Fargo,24567751,51204567,NA,7000000,8-Mar-96,R,87,Gramercy,Based on Real Life Events,Thriller/Suspense,Contemporary Fiction,Joel Coen,94,8.3,165159
335,First Knight,37361412,127361412,NA,75000000,7-Jul-95,PG-13,NA,Sony Pictures,Traditional/Legend/Fairytale,Drama,Historical Fiction,Jerry Zucker,45,5.6,20928
336,From Russia With Love,24800000,78900000,NA,2000000,8-Apr-64,NA,NA,MGM,Based on Book/Short Story,Action,NA,NA,NA,7.5,32541
337,The Firm,158340892,270340892,NA,42000000,30-Jun-93,R,NA,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Sydney Pollack,76,5.5,957
338,Frenzy,12600000,12600000,NA,3500000,21-Jun-72,NA,NA,Universal,NA,NA,NA,Alfred Hitchcock,87,7.5,13093
339,Footloose,80000000,80000000,NA,8200000,17-Feb-84,NA,NA,Paramount Pictures,Original Screenplay,Musical,Contemporary Fiction,Herbert Ross,56,6,15626
340,Fast Times at Ridgemont High,27092880,27092880,NA,4500000,13-Aug-82,NA,NA,Universal,Based on Book/Short Story,Comedy,Contemporary Fiction,Amy Heckerling,80,7.2,31362
341,Fighting Tommy Riley,10514,10514,NA,300000,6-May-05,R,NA,Freestyle Releasing,Original Screenplay,Drama,NA,NA,NA,6.6,499
342,The First Wives Club,105489203,181489203,NA,30000000,20-Sep-96,PG,90,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Hugh Wilson,41,5.6,14682
343,Flirting with Disaster,14853474,14853474,NA,7000000,22-Mar-96,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,David O. Russell,86,6.7,8474
344,For Your Eyes Only,54800000,195300000,NA,28000000,26-Jun-81,NA,NA,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,71,6.8,23527
345,Fiza,623791,1179462,NA,1000000,8-Sep-00,Not Rated,NA,Video Sound,Original Screenplay,Drama,Contemporary Fiction,NA,NA,6.5,749
346,Grip: A Criminal's Story,1336,1336,NA,12000,28-Apr-06,Not Rated,NA,JeTi Films,Original Screenplay,Action,Contemporary Fiction,NA,NA,NA,NA
347,The Ghost and the Darkness,38564422,38564422,NA,55000000,11-Oct-96,R,109,Paramount Pictures,Based on Real Life Events,Action,Dramatization,Stephen Hopkins,51,6.6,19735
